,name,search_volume
0,accounting,3000
1,accounting excel,< 5
2,accounting diploma,< 5
3,accounting training,< 5
4,accounting & business,< 5
5,data analysis,3000
6,data analysis excel,< 5
7,data analysis level 7,< 5
8,data analysis courses,< 5
9,data analysis diploma,90
10,data science,800
11,data science lead,< 5
12,data science diploma,< 5
13,data science analyst,< 5
14,data science apprentice,< 5
15,finance,2000
16,finance risk,< 5
17,finance manager,10
18,finance analyst,< 5
19,finance analysis,< 5
